user_id,ratio,numberRecommendationUserHas,numberGamesUserHasInTest
94229851,0,0,4
94269421,0,0,18
94299484,0,0,8
94356420,0,0,1
94379559,0,0,1
94428876,0,0,2
94510414,0,0,3
94521606,0,0,4
94670160,0,0,3
94689795,0,0,1
94690173,0,0,1
94698408,0,0,1
94708312,0,0,2
94712912,0,0,1
94851051,0,0,5
94908699,0,0,1
94936385,0,0,24
95037089,0,0,3
95084569,0,0,6
95132622,0,0,4
95137775,0,0,2
95181268,0,0,7
95279056,0,0,1
95325409,0,0,4
95380196,0,0,3
95440541,0,0,1
95531306,0,1,7
95695156,0,0,5
95699780,0,0,16
95780749,0,0,8
95853467,0,0,2
95898619,0,0,1
95911580,0,0,4
95996939,0,0,4
96001430,0,0,1
96014467,0,0,12
96024806,0,0,1
96149161,0,0,1
96167505,0,0,2
96204317,0,0,3
96249915,0,0,1
