app_id,status,name,type,required_age,platforms,metacritic_score,category_ids,categories,genre_ids,genres,recommendations
41804,True,Gratuitous Space Battles: The Swarm,dlc,0,windows:mac,NA,2:1:21,Single-player:Multi-player:Downloadable Content,2:23:28,Strategy:Indie:Simulation,NA
41805,True,Gratuitous Space Battles: The Nomads,dlc,0,windows:mac,NA,2:1:21,Single-player:Multi-player:Downloadable Content,2:23:28,Strategy:Indie:Simulation,NA
41807,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41808,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41809,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41810,True,Gratuitous Space Battles Demo,demo,0,windows,72,2:1:10,Single-player:Multi-player:Game demo,2:23,Strategy:Indie,NA
41813,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41814,True,Gratuitous Space Battles: Galactic Conquest,dlc,0,windows:mac,NA,2:1:21,Single-player:Multi-player:Downloadable Content,2:23:28,Strategy:Indie:Simulation,NA
41815,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41816,True,Gratuitous Space Battles: The Parasites,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,2:23:28,Strategy:Indie:Simulation,NA
41817,True,Gratuitous Space Battles: The Outcasts,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,2:23:28,Strategy:Indie:Simulation,NA
41900,True,The Bard's Tale,game,0,windows:mac:linux,70,2:22:29:18,Single-player:Steam Achievements:Steam Trading Cards:Partial Controller Support,1:25:3,Action:Adventure:RPG,626
42000,True,Trino,game,0,windows,NA,2:22:18:25,Single-player:Steam Achievements:Partial Controller Support:Steam Leaderboards,4:23,Casual:Indie,NA
42110,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42120,True,Lead and Gold: Gangs of the Wild West,game,16,windows,70,1:22:18:23:15:25,Multi-player:Steam Achievements:Partial Controller Support:Steam Cloud:Stats:Steam Leaderboards,1,Action,812
42129,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42140,True,Hamilton's Great Adventure,game,0,windows,77,2:1:24:22:29:18:23:25:44,Single-player:Multi-player:Shared/Split Screen:Steam Achievements:Steam Trading Cards:Partial Controller Support:Steam Cloud:Steam Leaderboards:Remote Play Together,25:4:23,Adventure:Casual:Indie,179
42147,True,Hamilton's Great Adventure - Retro Fever DLC,game,0,windows,NA,2:1:24:22:18:23:25:44,Single-player:Multi-player:Shared/Split Screen:Steam Achievements:Partial Controller Support:Steam Cloud:Steam Leaderboards:Remote Play Together,25:4:23,Adventure:Casual:Indie,NA
42160,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42170,True,Krater,game,0,windows:mac,52,2:1:9:22:29:23,Single-player:Multi-player:Co-op:Steam Achievements:Steam Trading Cards:Steam Cloud,1:25:23:3:2,Action:Adventure:Indie:RPG:Strategy,550
42180,True,Hamilton's Great Adventure: Retro Fever,dlc,0,windows,NA,2:24:21:22:18:23:25,Single-player:Shared/Split Screen:Downloadable Content:Steam Achievements:Partial Controller Support:Steam Cloud:Steam Leaderboards,25:23:4,Adventure:Indie:Casual,NA
42190,True,Hamilton's Great Adventure Demo,demo,0,windows,77,10,Game demo,NA,NA,NA
42200,True,Nancy Drew® Dossier: Resorting to Danger!,game,0,windows,77,2,Single-player,NA,NA,NA
42210,True,Nancy Drew®: Secrets Can Kill REMASTERED,game,0,windows:mac,NA,2,Single-player,25,Adventure,122
42220,True,Nancy Drew®: The Captive Curse,game,0,windows:mac,NA,2,Single-player,25,Adventure,NA
42230,True,Nancy Drew®: Trail of the Twister,game,0,windows:mac,NA,2,Single-player,25,Adventure,NA
42300,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42320,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42500,True,DogFighter,game,0,windows,NA,2:1:9:22:18:23:15:25,Single-player:Multi-player:Co-op:Steam Achievements:Partial Controller Support:Steam Cloud:Stats:Steam Leaderboards,1:23,Action:Indie,196
42510,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42520,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42521,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42640,True,Blur,advertising,0,windows,81,2:1:18,Single-player:Multi-player:Partial Controller Support,9,Racing,307
42660,True,Shrek Forever After™,advertising,0,windows,56,2:9:18,Single-player:Co-op:Partial Controller Support,1,Action,NA
42670,True,Singularity™,game,18,windows,76,2:1,Single-player:Multi-player,1,Action,3396
42680,True,Call of Duty®: Modern Warfare® 3,game,18,windows,NA,2:1:9:22:23:8,Single-player:Multi-player:Co-op:Steam Achievements:Steam Cloud:Valve Anti-Cheat enabled,1,Action,6934
42690,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42695,True,Call of Duty®: Modern Warfare® 3 Collection 1,dlc,18,windows,NA,2:1:9:21,Single-player:Multi-player:Co-op:Downloadable Content,NA,NA,NA
42696,True,Call of Duty®: Modern Warfare® 3 Collection 2,dlc,0,windows,NA,2:1:9:21,Single-player:Multi-player:Co-op:Downloadable Content,1,Action,NA
42697,True,Call of Duty®: Modern Warfare® 3 Collection 3: Chaos Pack,dlc,0,windows,NA,2:1:9:21,Single-player:Multi-player:Co-op:Downloadable Content,1,Action,NA
42698,True,Call of Duty®: Modern Warfare® 3 Collection 4: Final Assault,dlc,18,windows:mac,NA,1:21,Multi-player:Downloadable Content,1,Action,NA
42699,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42700,True,Call of Duty®: Black Ops,game,18,windows,81,2:1:9:22:18:8,Single-player:Multi-player:Co-op:Steam Achievements:Partial Controller Support:Valve Anti-Cheat enabled,1,Action,6916
42710,True,Call of Duty®: Black Ops,game,18,windows,81,2:1:9:22:18:8,Single-player:Multi-player:Co-op:Steam Achievements:Partial Controller Support:Valve Anti-Cheat enabled,1,Action,6916
42715,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42716,True,Call of Duty®: Black Ops First Strike Content Pack,dlc,18,windows,NA,1:9:21:18:8,Multi-player:Co-op:Downloadable Content:Partial Controller Support:Valve Anti-Cheat enabled,1,Action,NA
42717,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42718,True,Call of Duty®: Black Ops Escalation Content Pack,dlc,18,windows,NA,1:9:21:18,Multi-player:Co-op:Downloadable Content:Partial Controller Support,1,Action,NA
42719,True,Call of Duty®: Black Ops - Rezurrection Content Pack,dlc,18,windows,NA,2:1:9:21:22:18:8,Single-player:Multi-player:Co-op:Downloadable Content:Steam Achievements:Partial Controller Support:Valve Anti-Cheat enabled,1,Action,273
42720,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42722,True,Call of Duty®: Black Ops Annihilation Content Pack,dlc,18,windows,NA,1:9:21:18,Multi-player:Co-op:Downloadable Content:Partial Controller Support,1,Action,NA
42723,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42729,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42730,True,James Bond: Blood Stone,advertising,0,windows,63,2:1,Single-player:Multi-player,1:25,Action:Adventure,NA
42740,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42749,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42750,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42800,True,East India Company: Privateer,dlc,0,windows,63,2:21,Single-player:Downloadable Content,2,Strategy,NA
42810,True,For The Glory: A Europa Universalis Game,game,0,windows,NA,2:1,Single-player:Multi-player,2,Strategy,NA
42820,True,East India Company: Battle of Trafalgar,dlc,0,windows,NA,2:21,Single-player:Downloadable Content,2,Strategy,NA
42830,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42840,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42841,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42842,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42843,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42844,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42845,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42846,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42847,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42848,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
