game_title,hours
Call of Duty Black Ops - Multiplayer OSX,62.7
Call of Duty Black Ops - OSX,31.799999999999997
Call of Duty Black Ops II,1420.1
Call of Duty Black Ops II - Multiplayer,13816.3
Call of Duty Black Ops II - Zombies,1388.9
Call of Duty Black Ops III,1415.9
Call of Duty Ghosts,638.0999999999999
Call of Duty Ghosts - Multiplayer,3804.6
Call of Duty Modern Warfare 2,8635.4
Call of Duty Modern Warfare 2 - Multiplayer,42009.899999999994
Call of Duty Modern Warfare 2 - Resurgence Pack,0.0
Call of Duty Modern Warfare 2 Stimulus Package,0.0
Call of Duty Modern Warfare 3,5443.6
Call of Duty Modern Warfare 3 - Multiplayer,20603.0
Call of Duty United Offensive,374.1
Call of Duty World at War,2583.5000000000005
Call of Juarez,12.0
Call of Juarez Bound in Blood,33.6
Call of Juarez Gunslinger,341.29999999999995
Call of Juarez The Cartel,104.8
Call of Tomsk-7,1.5
Call to Arms,75.2
Call to Arms - Deluxe Edition,0.0
Camera Obscura,20.1
Camera Obscura Soundtrack,0.0
CameraBag 2,2.5
Cannon Brawl,5.4
Cannon Fodder 3,0.0
Cannons Lasers Rockets,1.9
Canyon Capers,34.7
Capsized,14.0
Captain Forever Remix,22.0
Captain Morgane and the Golden Turtle,0.0
Car Mechanic Simulator 2014,62.4
Car Mechanic Simulator 2015,110.6
Car Mechanic Simulator 2015 - PickUp & SUV DLC,0.0
Car Mechanic Simulator 2015 - TraderPack,0.0
Car Mechanic Simulator 2015 - Visual Tuning,0.0
Car Mechanic Simulator 2015 - Youngtimer,0.0
Card City Nights,2.8
Card Hunter,72.3
Cards and Castles,1.7
Cargo Commander,7.0
Cargo! - The quest for gravity,14.0
Caribbean!,17.3
Carmageddon 2 Carpocalypse Now,12.9
Carmageddon Max Pack,2.8
Carmageddon Reincarnation,23.9
Carmageddon TDR 2000,0.0
Carnage Racing,0.1
Carpe Diem,0.8
Carpe Diem - Extra Package,0.0
Carrier Command Gaea Mission,13.4
Cart Life,0.0
Cast of the Seven Godsends,7.4
Cast of the Seven Godsends - Soundtrack,0.0
Castaway Paradise,6.8
Caster,27.200000000000003
Castle,1.3
Castle Crashers,1002.8
Castle Crashers - Blacksmith Pack,0.0
Castle Crashers - Pink Knight Pack,0.0
Castle In The Darkness,10.6
Castle Never Judge a Book by its Cover,0.8
Castle Story,109.40000000000002
Castle of Illusion,12.4
CastleMiner Z,68.0
CastleStorm,76.9
CastleStorm - From Outcast to Savior,0.0
CastleStorm - The Warrior Queen,0.0
Castlevania Lords of Shadow  Mirror of Fate HD,1.0
Castlevania Lords of Shadow - Ultimate Edition,84.9
Castlevania Lords of Shadow 2,126.4
Castlevania Lords of Shadow 2 - Armored Dracula Costume,0.0
Castlevania Lords of Shadow 2 - Dark Dracula Costume,0.0
Castlevania Lords of Shadow 2 - Relic Rune Pack,0.0
Castlevania Lords of Shadow 2 - Revelations DLC,0.0
Cat Goes Fishing,1.0
Catmouth Island,2.6
Cave Story+,286.4
Chains,15.5
Chainsaw Warrior,8.5
Chainsaw Warrior Lords of the Night,7.1
Champions Online,826.3
Championship Manager 2008,0.4
Championship Manager 2010,10.7
Chantelise,1.4
Chaos Domain,0.5
Chaos Heroes Online,1.0
Chaos on Deponia,81.69999999999999
Chariot,0.0
Chaser,8.5
Chernobyl Commando,0.0
Cherry Tree High Comedy Club,3.1
Cherry Tree High I! My! Girls!,5.3
Chessmaster,1.8
Chicken Shoot 2,0.0
Chicken Shoot Gold,0.0
Child of Light,171.39999999999998
Children of the Nile,0.5
Children of the Nile Alexandria,2.9
Chime,18.4
Chip,15.0
Chip's Challenge 2,0.6
