app_id,review_score,review_score_desc,total_positive,total_negative,total_reviews
17100,8,Very Positive,164,34,198
17120,8,Very Positive,54,12,66
17140,6,Mostly Positive,86,28,114
17180,7,Positive,16,4,20
17300,8,Very Positive,3385,826,4211
17330,8,Very Positive,803,163,966
17340,0,7 user reviews,7,0,7
17390,8,Very Positive,12620,1513,14133
17400,0,1 user reviews,1,0,1
17410,8,Very Positive,8587,1349,9936
17420,0,5 user reviews,4,1,5
17430,5,Mixed,1247,577,1824
17440,8,Very Positive,411,72,483
17450,8,Very Positive,2257,205,2462
17460,8,Very Positive,7709,466,8175
17470,8,Very Positive,5040,646,5686
17480,8,Very Positive,2177,532,2709
17500,7,Positive,23,3,26
17510,7,Positive,12,2,14
17520,7,Positive,36,3,39
17530,0,1 user reviews,1,0,1
17550,0,4 user reviews,4,0,4
17570,8,Very Positive,50,3,53
17580,0,1 user reviews,1,0,1
17700,6,Mostly Positive,10,3,13
17710,6,Mostly Positive,680,189,869
17730,0,1 user reviews,1,0,1
17740,6,Mostly Positive,11,3,14
18000,8,Very Positive,249,22,271
18020,8,Very Positive,85,14,99
18040,8,Very Positive,261,17,278
18050,8,Very Positive,62,10,72
18070,6,Mostly Positive,66,21,87
18080,0,3 user reviews,3,0,3
18110,8,Very Positive,213,26,239
18120,6,Mostly Positive,90,30,120
18300,6,Mostly Positive,166,53,219
18400,5,Mixed,35,26,61
18407,0,4 user reviews,2,2,4
18408,0,2 user reviews,1,1,2
18420,7,Positive,33,6,39
18450,0,2 user reviews,2,0,2
18460,0,2 user reviews,2,0,2
18470,5,Mixed,19,9,28
18480,5,Mixed,12,8,20
18490,7,Positive,38,7,45
18500,9,Overwhelmingly Positive,2441,76,2517
18508,0,4 user reviews,4,0,4
18509,0,1 user reviews,1,0,1
18520,0,2 user reviews,1,1,2
18521,0,1 user reviews,1,0,1
18522,7,Positive,21,1,22
18523,0,7 user reviews,7,0,7
18600,7,Positive,8,2,10
18700,6,Mostly Positive,122,47,169
18820,8,Very Positive,135,33,168
19000,5,Mixed,200,225,425
19020,5,Mixed,8,5,13
19030,5,Mixed,47,21,68
19080,0,7 user reviews,1,6,7
19090,7,Positive,10,0,10
19200,6,Mostly Positive,135,52,187
19320,0,3 user reviews,2,1,3
19500,3,Negative,4,38,42
19680,8,Very Positive,3107,488,3595
19800,8,Very Positive,224,43,267
19810,7,Positive,18,3,21
19830,8,Very Positive,648,52,700
19900,6,Mostly Positive,3774,1105,4879
19930,6,Mostly Positive,88,33,121
19980,6,Mostly Positive,610,172,782
20200,0,7 user reviews,1,6,7
20500,8,Very Positive,3220,316,3536
20510,8,Very Positive,1856,408,2264
20530,8,Very Positive,851,128,979
20540,8,Very Positive,565,34,599
20550,5,Mixed,200,189,389
20570,8,Very Positive,551,61,612
20590,7,Positive,14,0,14
20700,8,Very Positive,47,11,58
20710,8,Very Positive,47,9,56
20820,8,Very Positive,344,14,358
20828,0,7 user reviews,7,0,7
20840,7,Positive,10,0,10
20900,8,Very Positive,14028,2509,16537
20902,0,1 user reviews,1,0,1
20920,8,Very Positive,15609,2185,17794
21000,8,Very Positive,831,183,1014
21010,5,Mixed,100,59,159
21030,5,Mixed,35,19,54
21070,0,2 user reviews,1,1,2
21080,0,3 user reviews,2,1,3
21090,8,Very Positive,3366,211,3577
21100,5,Mixed,1101,648,1749
21110,8,Very Positive,94,15,109
21120,8,Very Positive,56,8,64
21130,6,Mostly Positive,1017,275,1292
21140,0,2 user reviews,2,0,2
21170,8,Very Positive,129,19,148
21200,0,3 user reviews,3,0,3
21201,0,1 user reviews,1,0,1
21204,0,1 user reviews,1,0,1
21209,0,1 user reviews,1,0,1
21210,0,1 user reviews,1,0,1
21212,0,1 user reviews,1,0,1
21213,0,1 user reviews,1,0,1
21214,0,1 user reviews,1,0,1
21215,0,1 user reviews,1,0,1
21222,0,1 user reviews,1,0,1
21300,7,Positive,17,4,21
21400,0,3 user reviews,2,1,3
21500,0,6 user reviews,3,3,6
21600,4,Mostly Negative,51,94,145
21610,0,2 user reviews,2,0,2
21620,0,1 user reviews,0,1,1
21640,6,Mostly Positive,45,14,59
21660,5,Mixed,182,87,269
21670,6,Mostly Positive,303,117,420
21680,6,Mostly Positive,266,101,367
21690,8,Very Positive,3817,756,4573
21730,5,Mixed,7,4,11
21750,0,1 user reviews,1,0,1
21760,6,Mostly Positive,286,105,391
21780,8,Very Positive,227,35,262
21800,6,Mostly Positive,231,71,302
21900,6,Mostly Positive,79,28,107
